#,At the beginning of the pandemic did you work or study?,Family,Friends,Pets,Roommates,People I didn't know,Alone,How many people did you live with in that period?,Bored,Stressed,Free,Optimistic,Peaceful,Lonely,Disappointed,Frustrated,Threatened,Before covid,During covid,Bored,Stressed,Excited,Hopeful,Peaceful,Lonely,Vulnerable,Disappointed,Anxious,Mask mandate,Lockdown,Closing Workplace/University,Vaccination pass,Social distancing,Quarantine,Mask mandate,Lockdown,Closing Workplace/University,Vaccination pass,Social distancing,Quarantine,Proud,Optimistic,Indifferent,Vulnerable,Disappointed,Hostile,Threatened,Anxious,Free,No,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed,Optimistic,Peaceful,Lonely,Vulnerable,Disappointed,Frustrated,Anxious,Threatened,1 before COVID-19?,2 before COVID-19?,3 before COVID-19?,4 before COVID-19?,5 before COVID-19?,6 before COVID-19?,1 during COVID-19?,2 during COVID-19?,3 during COVID-19?,4 during COVID-19?,5 during COVID-19?,6 during COVID-19?,Main Income,Bored,Stressed,Free,Proud,Optimistic,Lonely,Disappointed,Frustrated,Anxious,Did your studying situation changed during COVID-19?,Change in personal interests,Change in learning modes,Family / Friends / Advisors Influence,Low grades,Better Career Prospects,Economic Difficulties,Started working,Other / I prefer not to answer,How would you describe your job?,"In your daily job, do you work directly with the public?",Free,Aggresive,Frustrated,Disappointed,Vulnerable,Lonely,Optimistic,enthusiastic,stressed,Did your professional situation change during COVID-19?,Why did your professional situation change?,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Do you feel you have gone back to your “normality”?,What is your job sector?,What is your major?,What is your gender?,How old are you now?,Where did you grow up?,What is your ethnicity?,Which of these emotions do you associate with COVID-19?
US,Both,Family,,,,,,2,Bored,,,,Peaceful,,,Frustrated,,Weekly,Monthly,Bored,,,,,Lonely,,Disappointed,,5,4,5,5,4,4,5,2,3,5,2,3,,,,,Disappointed,,Threatened,Anxious,,,,,"Yes, in 2022",,,Peaceful,,,,,,,Relationships,Career & Finances,Family,Mental health,Spirituality,Physical health,Career & Finances,Mental health,Family,Physical health,Relationships,Spirituality,Job,Bored,,,,,Lonely,Disappointed,,,No,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,5,4,4,4,4,,Engineering and Technology,Female,24-30,I'm from somewhere else in the US,Asian,Frustrated
US,Work,,,,Roommates,,,2,,Stressed,Free,,Peaceful,,,,,Weekly,Weekly,Bored,,,,,Lonely,,,Anxious,5,4,5,5,5,5,5,2,4,5,5,3,,,,,Disappointed,Hostile,,,,,"Yes, in 2020",,,,,,,Vulnerable,Disappointed,,Anxious,,Career & Finances,Mental health,Physical health,Spirituality,Relationships,Family,Physical health,Mental health,Career & Finances,Relationships,Spirituality,Family,,,,,,,,,,,,,,,,,,,,Fixed term employed,0,,,Frustrated,,,,,,stressed,"No, it didn’t change",,3,2,3,3,5,5,5,5,8,Information Technology,,Male,30-40,I come from abroad,Asian,Distant
US,Work,,,Pets,,,,,Bored,,,,Peaceful,,,,,Weekly,Weekly,,,,,,Lonely,,,,5,,2,4,4,4,4,,1,4,4,2,,,Indifferent,,,,,,,No,,,,,,,,,,,,,Physical health,Career & Finances,Relationships,Family,Mental health,Spirituality,Physical health,Relationships,Family,Mental health,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Business owner,1,,,,,,,,,stressed,"No, it didn’t change",,4,2,2,2,5,3,4,3,5,Food & Consumer Goods,,Male,40-50,I'm from New York State,White,Frustrated
US,Work,,,,,,Alone,,,,,,,,,,,Weekly,Daily,,,,,,Lonely,,Disappointed,,5,,3,4,4,4,5,,2,4,4,3,,,,,,,Threatened,,,No,,,,,,,,,,,,,Relationships,Physical health,Family,Mental health,Spirituality,Career & Finances,Physical health,Relationships,Family,Mental health,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Self - employed,1,,,,,Vulnerable,,,,stressed,"No, it didn’t change",,4,3,3,3,5,5,5,5,6,Food & Consumer Goods,,Male,30-40,I'm from New York State,White,Optimistic
US,Work,Family,,,,,,1,,,,,,,,Frustrated,,Daily,Daily,,,,Hopeful,,,,,Anxious,4,4,4,4,4,4,3,3,3,4,3,3,,,,,Disappointed,,Threatened,Anxious,,No,,,,,,,,,,,,,Relationships,Mental health,Family,Career & Finances,Physical health,Spirituality,Career & Finances,Mental health,Relationships,Physical health,Family,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,0,,,,,,,,,stressed,"Yes, I quit my job",Financial reasons,3,3,4,4,4,3,4,5,8,Information Technology,,Male,30-40,I'm from somewhere else in the US,White,Anxious
US,Work,,,,Roommates,,,2,Bored,,,,,,,,,Daily,Weekly,,,,,,,,Disappointed,,4,1,3,4,5,1,4,2,3,2,5,1,,,,,,,,,Free,No,,,,,,,,,,,,,Career & Finances,Family,Spirituality,Physical health,Mental health,Relationships,Physical health,Family,Mental health,Career & Finances,Spirituality,Relationships,,,,,,,,,,,,,,,,,,,,Self - employed,0,,,,,,,Optimistic,,,"Yes, my contract ended",I wanted to work remotely,5,4,3,2,5,5,5,5,9,Financials,,Female,24-30,I come from abroad,Asian,Distant
US,Work,Family,,,,,,1,Bored,,,,Peaceful,,,Frustrated,,Daily,Daily,,,,,,Lonely,,Disappointed,Anxious,5,5,5,4,4,5,5,4,4,5,3,4,,,,,Disappointed,Hostile,,Anxious,,,,,"Yes, in 2022",,,,,,Disappointed,,,,Career & Finances,Family,Mental health,Relationships,Physical health,Spirituality,Family,Career & Finances,Physical health,Mental health,Relationships,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,0,,,,,Vulnerable,,,,stressed,"Yes, I quit my job",Change in personal interests,5,5,5,3,5,5,5,3,7,Information Technology,,Female,24-30,I come from abroad,Other / I prefer not to answer,Lonely
US,Both,Family,,,,,,4,,,,Optimistic,,,,,,Daily,Daily,,,,Hopeful,,,,,,5,3,4,5,5,5,4,3,4,5,5,5,,,,,,,,,Free,No,,,,,,,,,,,,,Spirituality,Family,Mental health,Physical health,Relationships,Career & Finances,Spirituality,Family,Physical health,Mental health,Relationships,Career & Finances,Job,,,,,Optimistic,,,Frustrated,Anxious,No,,,,,,,,,,,,,,,,,,,,,,5,5,3,2,4,4,2,1,3,,Engineering and Technology,Female,24-30,I'm from New York State,Other / I prefer not to answer,Vulnerable
US,Work,,,,,,Alone,,,,,,,,,,,Daily,Daily,Bored,,,,Peaceful,,Vulnerable,,,5,5,5,1,5,5,5,1,1,5,3,1,,,Indifferent,,,Hostile,,Anxious,,,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed,,,,Vulnerable,,Frustrated,,,Career & Finances,Family,Relationships,Mental health,Spirituality,Physical health,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,0,Free,Aggresive,Frustrated,,,,,,,Other / I prefer not to answer,,3,1,1,1,5,4,3,5,7,Health Care,,Male,30-40,I come from abroad,Other / I prefer not to answer,Distant
US,Work,,Friends,,,,,1,,,,,Peaceful,,,,,Weekly,Weekly,,,Excited,,Peaceful,,,,,5,5,4,5,5,5,5,5,4,5,5,4,,,Indifferent,,,,,,Free,No,,,,,,,,,,,,,Family,Relationships,Mental health,Spirituality,Physical health,Career & Finances,Relationships,Mental health,Physical health,Career & Finances,Spirituality,Family,,,,,,,,,,,,,,,,,,,,Fixed term employed,0,,,,,,,,,stressed,"Yes, my contract ended",Work environment,5,3,3,4,5,3,3,4,7,Manufacturing & Logistics,,Male,24-30,I'm from New York State,White,Peaceful
