#,At the beginning of the pandemic did you work or study?,Family,Friends,Pets,Roommates,Alone,People I didn't know,How many people did you live with in that period?,Bored,Stressed,Free,Optimistic,Peaceful,Lonely,Disappointed,Frustrated,Threatened,Before covid,During covid,Bored,Stressed,Excited,Hopeful,Peaceful,Lonely,Vulnerable,Disappointed,Anxious,Mask mandate,Lockdown,Closing Workplace/University,Vaccination pass,Social distancing,Quarantine,Mask mandate,Lockdown,Closing Workplace/University,Vaccination pass,Social distancing,Quarantine,Proud,Optimistic,Indifferent,Vulnerable,Disappointed,Hostile,Threatened,Anxious,Free,No,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed,Optimistic,Peaceful,Lonely,Vulnerable,Disappointed,Frustrated,Anxious,Threatened,What were the priorities in your life *before* COVID-19?,What were the priorities in your life *during* COVID-19?,What is your main source of income?,Bored,Stressed,Free,Proud,Optimistic,Lonely,Disappointed,Frustrated,Anxious,Did your studying situation changed during COVID-19?,Change in personal interests,Change in learning modes,Family / Friends / Advisors Influence,Low grades,Better Career Prospects,Economic Difficulties,Started working,Other / I prefer not to answer,How would you describe your job?,"In your daily job, do you work directly with the public?",Free,Aggresive,Frustrated,Disappointed,Vulnerable,Lonely,Optimistic,enthusiastic,stressed,Did your professional situation change during COVID-19?,Why did your professional situation change?,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Do you feel you have gone back to your “normality”?,What is your job sector?,What is your major?,What is your gender?,Other,How old are you now?,Where did you grow up?,What is your ethnicity?,Which of these emotions do you associate with COVID-19?,utm_source,Start Date (UTC),Submit Date (UTC),Network ID
bz1bq9yn2h8lbks8bz16lymsdoyfkghg,Study,Family,,,,,,3,,,Free,Optimistic,Peaceful,,,,,Weekly,Monthly,,,,,Peaceful,,,,,5,4,5,5,5,5,5,2,4,5,5,4,,,,,Disappointed,,,,,No,,,,,,,,,,,,,"Relationships,Family,Career & Finances,Mental health,Physical health,Spirituality","Physical health,Family,Mental health,Relationships,Spirituality,Career & Finances",Family,,,Free,,Optimistic,,,,,No,,,,,,,,,,,,,,,,,,,,,,4,2,2," 1",5,4,3,2,4,,Engineering and Technology,Male,,24-30,I come from abroad,Asian,Stressed,xxxxx,2022-07-05 11:47:50,2022-07-05 11:58:00,26ed5494e0
jqwwsowzrff6s8dykeajqwwsoq37u4xd,Both,Family,,,,,,2,Bored,,,,Peaceful,,,Frustrated,,Weekly,Monthly,Bored,,,,,Lonely,,Disappointed,,5,4,5,5,4,4,5,2,3,5,2,3,,,,,Disappointed,,Threatened,Anxious,,,,,"Yes, in 2022",,,Peaceful,,,,,,,"Relationships,Career & Finances,Family,Mental health,Spirituality,Physical health","Career & Finances,Mental health,Family,Physical health,Relationships,Spirituality",Job,Bored,,,,,Lonely,Disappointed,,,No,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,5,4,4,4,4,,Engineering and Technology,Female,,24-30,I'm from somewhere else in the US,Asian,Frustrated,xxxxx,2022-07-01 14:12:39,2022-07-01 14:19:28,ed2277b92a
l1bzziosbhq9xkr7l1bzq0t7n1zbtdd8,Work,,,,Roommates,,,2,,Stressed,Free,,Peaceful,,,,,Weekly,Weekly,Bored,,,,,Lonely,,,Anxious,5,4,5,5,5,5,5,2,4,5,5,3,,,,,Disappointed,Hostile,,,,,"Yes, in 2020",,,,,,,Vulnerable,Disappointed,,Anxious,,"Career & Finances,Mental health,Physical health,Spirituality,Relationships,Family","Physical health,Mental health,Career & Finances,Relationships,Spirituality,Family",,,,,,,,,,,,,,,,,,,,Fixed term employed,0,,,Frustrated,,,,,,stressed,"No, it didn’t change",,3,2,3,3,5,5,5,5,8,Information Technology,,Male,,30-40,I come from abroad,Asian,Distant,xxxxx,2022-07-01 09:34:15,2022-07-01 09:40:19,b1411c2be8
q8np9tzoc2ubyq3spnsq8np9ty05hxbr,Work,,,Pets,,,,,Bored,,,,Peaceful,,,,,Weekly,Weekly,,,,,,Lonely,,,,5,,2,4,4,4,4,,1,4,4,2,,,Indifferent,,,,,,,No,,,,,,,,,,,,,"Physical health,Career & Finances,Relationships,Family,Mental health,Spirituality","Physical health,Relationships,Family,Mental health,Career & Finances,Spirituality",,,,,,,,,,,,,,,,,,,,Business owner,1,,,,,,,,,stressed,"No, it didn’t change",,4,2,2,2,5,3,4,3,5,Food & Consumer Goods,,Male,,40-50,I'm from New York State,White,Frustrated,,2022-07-01 01:58:44,2022-07-01 02:12:49,4381fe081e
ya9axwo7ib9kk6quya9axhtdypy6b71q,Work,,,,,Alone,,,,,,,,,,,,Weekly,Daily,,,,,,Lonely,,Disappointed,,5,,3,4,4,4,5,,2,4,4,3,,,,,,,Threatened,,,No,,,,,,,,,,,,,"Relationships,Physical health,Family,Mental health,Spirituality,Career & Finances","Physical health,Relationships,Family,Mental health,Career & Finances,Spirituality",,,,,,,,,,,,,,,,,,,,Self - employed,1,,,,,Vulnerable,,,,stressed,"No, it didn’t change",,4,3,3,3,5,5,5,5,6,Food & Consumer Goods,,Male,,30-40,I'm from New York State,White,Optimistic,,2022-07-01 01:49:00,2022-07-01 01:54:41,4381fe081e
ppw2ov7p4d7z063m67nfcppw2ov7ivti,Work,Family,,,,,,1,,,,,,,,Frustrated,,Daily,Daily,,,,Hopeful,,,,,Anxious,4,4,4,4,4,4,3,3,3,4,3,3,,,,,Disappointed,,Threatened,Anxious,,No,,,,,,,,,,,,,"Relationships,Mental health,Family,Career & Finances,Physical health,Spirituality","Career & Finances,Mental health,Relationships,Physical health,Family,Spirituality",,,,,,,,,,,,,,,,,,,,Permanent employed,0,,,,,,,,,stressed,"Yes, I quit my job",Financial reasons,3,3,4,4,4,3,4,5,8,Information Technology,,Male,,30-40,I'm from somewhere else in the US,White,Anxious,xxxxx,2022-06-30 22:23:31,2022-06-30 22:27:12,f70c8f71dd
16j6vngi49bnkg6616j6vk97cd6nylfq,Work,,,,Roommates,,,2,Bored,,,,,,,,,Daily,Weekly,,,,,,,,Disappointed,,4,1,3,4,5,1,4,2,3,2,5,1,,,,,,,,,Free,No,,,,,,,,,,,,,"Career & Finances,Family,Spirituality,Physical health,Mental health,Relationships","Physical health,Family,Mental health,Career & Finances,Spirituality,Relationships",,,,,,,,,,,,,,,,,,,,Self - employed,0,,,,,,,Optimistic,,,"Yes, my contract ended",I wanted to work remotely,5,4,3,2,5,5,5,5,9,Financials,,Female,,24-30,I come from abroad,Asian,Distant,,2022-06-30 19:46:45,2022-06-30 20:10:24,400f22587d
sbz158afjpbd9gqmjnsbz15wecyhcngq,Work,Family,,,,,,1,Bored,,,,Peaceful,,,Frustrated,,Daily,Daily,,,,,,Lonely,,Disappointed,Anxious,5,5,5,4,4,5,5,4,4,5,3,4,,,,,Disappointed,Hostile,,Anxious,,,,,"Yes, in 2022",,,,,,Disappointed,,,,"Career & Finances,Family,Mental health,Relationships,Physical health,Spirituality","Family,Career & Finances,Physical health,Mental health,Relationships,Spirituality",,,,,,,,,,,,,,,,,,,,Permanent employed,0,,,,,Vulnerable,,,,stressed,"Yes, I quit my job",Change in personal interests,5,5,5,3,5,5,5,3,7,Information Technology,,Female,,24-30,I come from abroad,Other / I prefer not to answer,Lonely,xxxxx,2022-06-30 18:10:07,2022-06-30 18:16:20,192af7947d
a5638wpdh114k81aa560t3c8lpph4jwf,Both,Family,,,,,,4,,,,Optimistic,,,,,,Daily,Daily,,,,Hopeful,,,,,,5,3,4,5,5,5,4,3,4,5,5,5,,,,,,,,,Free,No,,,,,,,,,,,,,"Spirituality,Family,Mental health,Physical health,Relationships,Career & Finances","Spirituality,Family,Physical health,Mental health,Relationships,Career & Finances",Job,,,,,Optimistic,,,Frustrated,Anxious,No,,,,,,,,,,,,,,,,,,,,,,5,5,3,2,4,4,2," 1",3,,Engineering and Technology,Female,,24-30,I'm from New York State,Other / I prefer not to answer,Vulnerable,xxxxx,2022-06-30 15:20:57,2022-06-30 15:26:29,8e6374586f
4ot5v7sxfk1irmf1qw4ot5e7vrjq8onv,Work,,,,,Alone,,,,,,,,,,,,Daily,Daily,Bored,,,,Peaceful,,Vulnerable,,,5,5,5,1,5,5,5,1,1,5,3,1,,,Indifferent,,,Hostile,,Anxious,,,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed,,,,Vulnerable,,Frustrated,,,"Career & Finances,Family,Relationships,Mental health,Spirituality,Physical health","Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality",,,,,,,,,,,,,,,,,,,,Permanent employed,0,Free,Aggresive,Frustrated,,,,,,,Other / I prefer not to answer,,3," 1"," 1"," 1",5,4,3,5,7,Health Care,,Male,,30-40,I come from abroad,Other / I prefer not to answer,Distant,xxxxx,2022-06-30 15:05:23,2022-06-30 15:16:44,b12943f649
